state,action,reward
"open                      101300.0
high                      101817.1
low                       100700.0
close                     101355.0
volume                  270.254765
EMA50                104447.227041
EMA12                 103604.30588
EMA26                104169.271086
MACD                   -564.965206
MACD_signal            -159.603793
RSI                      19.339605
doji                          True
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-27 02:00:00, dtype: object",HOLD,31635.39999999982
"open                      101355.0
high                      101363.2
low                        99694.7
close                     100337.1
volume                  298.716884
EMA50                104286.045588
EMA12                103101.658821
EMA26                103885.406561
MACD                   -783.747739
MACD_signal            -284.432582
RSI                      16.578018
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 04:00:00, dtype: object",HOLD,31635.39999999982
"open                      100337.1
high                      100422.9
low                        97688.7
close                      99005.2
volume                  574.285044
EMA50                104078.953604
EMA12                102471.434387
EMA26                103523.909778
MACD                  -1052.475391
MACD_signal            -438.041144
RSI                       8.716724
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                  True
Name: 2025-01-27 06:00:00, dtype: object",HOLD,31635.39999999982
"open                       99002.7
high                       99473.6
low                        98642.1
close                      99329.7
volume                  192.188842
EMA50                103892.708365
EMA12                101988.090635
EMA26                103213.227573
MACD                  -1225.136937
MACD_signal            -595.460303
RSI                      12.055237
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 08:00:00, dtype: object",HOLD,31635.39999999982
"open                       99329.7
high                       99403.5
low                        98279.1
close                      98751.1
volume                  242.650076
EMA50                103691.076664
EMA12                101490.092076
EMA26                102882.699604
MACD                  -1392.607528
MACD_signal            -754.889748
RSI                      11.328916
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 10:00:00, dtype: object",BUY,19825.19999999988
"open                       98751.0
high                      101626.4
low                        98728.5
close                     100487.3
volume                  379.689906
EMA50                103565.438364
EMA12                101335.816372
EMA26                102705.262597
MACD                  -1369.446224
MACD_signal            -877.801043
RSI                      28.178248
doji                         False
hammer                       False
bullish_engulfing             True
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 12:00:00, dtype: object",SELL,31635.39999999982
"open                      100487.3
high                      102302.2
low                       100125.0
close                     101124.1
volume                  327.801128
EMA50                103469.699604
EMA12                101303.244623
EMA26                102588.139441
MACD                  -1284.894819
MACD_signal            -959.219798
RSI                      31.271642
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                  True
evening_star                 False
Name: 2025-01-27 14:00:00, dtype: object",HOLD,31635.39999999982
"open                      101111.8
high                      101202.4
low                        99010.6
close                      99100.1
volume                   287.69927
EMA50                103298.342757
EMA12                100964.299296
EMA26                102329.766149
MACD                  -1365.466853
MACD_signal           -1040.469209
RSI                      25.033969
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 16:00:00, dtype: object",SELL,19825.19999999988
"open                       99100.2
high                       99850.0
low                        98850.0
close                      99620.5
volume                  218.717767
EMA50                103154.113629
EMA12                100757.560943
EMA26                102129.079768
MACD                  -1371.518825
MACD_signal           -1106.679132
RSI                       27.92339
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 18:00:00, dtype: object",BUY,31635.39999999982
"open                       99620.5
high                      102334.1
low                        99555.3
close                     101368.4
volume                  441.798541
EMA50                103084.085644
EMA12                100851.536182
EMA26                102072.733118
MACD                  -1221.196936
MACD_signal           -1129.582693
RSI                      37.161074
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-27 20:00:00, dtype: object",HOLD,31635.39999999982
"open                      101368.4
high                      102133.3
low                       101257.2
close                     102133.3
volume                  224.804406
EMA50                103046.799932
EMA12                101048.730616
EMA26                102077.219554
MACD                  -1028.488938
MACD_signal           -1109.363942
RSI                      39.933877
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 22:00:00, dtype: object",HOLD,31635.39999999982
"open                      102133.3
high                      102877.6
low                       101415.5
close                     101415.6
volume                  169.857826
EMA50                102982.831308
EMA12                 101105.17206
EMA26                102028.210698
MACD                   -923.038639
MACD_signal           -1072.098881
RSI                      39.130111
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-28 00:00:00, dtype: object",SELL,19825.19999999988
"open                      101415.5
high                      102797.0
low                       101319.8
close                     102608.3
volume                   65.742549
EMA50                102968.143805
EMA12                101336.422512
EMA26                102071.180276
MACD                   -734.757764
MACD_signal           -1004.630658
RSI                      50.042309
doji                         False
hammer                       False
bullish_engulfing             True
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-28 02:00:00, dtype: object",HOLD,31635.39999999982
"open                      102608.4
high                      103316.5
low                       102583.7
close                     102966.9
volume                  127.278118
EMA50                102968.095029
EMA12                101587.265202
EMA26                102137.529885
MACD                   -550.264683
MACD_signal            -913.757463
RSI                      56.407654
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-28 04:00:00, dtype: object",SELL,31635.39999999982
"open                      102966.9
high                      103245.0
low                       102550.0
close                     102763.4
volume                  134.532024
EMA50                102960.067773
EMA12                101768.209017
EMA26                102183.890635
MACD                   -415.681617
MACD_signal            -814.142294
RSI                      55.352854
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-28 06:00:00, dtype: object",HOLD,31635.39999999982
"open                      102763.4
high                      102981.9
low                       102325.5
close                     102887.3
volume                   74.059744
EMA50                102957.214134
EMA12                101940.376861
EMA26                102235.995032
MACD                   -295.618171
MACD_signal            -710.437469
RSI                      60.399132
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-28 08:00:00, dtype: object",BUY,31635.39999999982
"open                      102887.3
high                      103127.7
low                       102592.5
close                     102743.4
volume                   85.662116
EMA50                102948.829266
EMA12                102063.918882
EMA26                102273.580585
MACD                   -209.661703
MACD_signal            -610.282316
RSI                      66.878883
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-28 10:00:00, dtype: object",SELL,31635.39999999982
"open                      102743.4
high                      102950.4
low                       102504.4
close                     102556.9
volume                   61.750221
EMA50                102933.459491
EMA12                102139.762131
EMA26                102294.567208
MACD                   -154.805077
MACD_signal            -519.186868
RSI                      64.755478
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                  True
Name: 2025-01-28 12:00:00, dtype: object",SELL,31635.39999999982
